Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R3G        R0805             5000.001mil    866.142mil   5000.001mil    866.142mil   4962.599mil    866.142mil  T        360.00 RES 20K 5% 0805(2012)
R3H        R0805             5748.032mil    866.142mil   5748.032mil    866.142mil   5710.631mil    866.142mil  T        360.00 RES 20K 5% 0805(2012)
R4A        R0805              590.552mil    708.662mil    590.552mil    708.662mil    590.552mil    746.064mil  T        270.00 RES 10K 5% 0805(2012)
R4B        R0805             1299.213mil    708.662mil   1299.213mil    708.662mil   1299.213mil    746.064mil  T        270.00 RES 10K 5% 0805(2012)
R4C        R0805             2047.245mil    669.292mil   2047.245mil    669.292mil   2047.245mil    706.693mil  T        270.00 RES 10K 5% 0805(2012)
R4D        R0805             2740.158mil    653.544mil   2740.158mil    653.544mil   2740.158mil    690.945mil  T        270.00 RES 10K 5% 0805(2012)
R4E        R0805              3448.82mil    669.292mil    3448.82mil    669.292mil    3448.82mil    706.694mil  T        270.00 RES 10K 5% 0805(2012)
R4F        R0805             4157.481mil    653.544mil   4157.481mil    653.544mil   4157.481mil    690.946mil  T        270.00 RES 10K 5% 0805(2012)
R4G        R0805             4866.142mil    653.544mil   4866.142mil    653.544mil   4866.142mil    690.945mil  T        270.00 RES 10K 5% 0805(2012)
R4H        R0805             5590.552mil    667.323mil   5590.552mil    667.323mil   5590.552mil    704.725mil  T        270.00 RES 10K 5% 0805(2012)
C1A        C0805              472.442mil    708.662mil    472.442mil    708.662mil    472.442mil    746.064mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1B        C0805             1181.103mil    708.662mil   1181.103mil    708.662mil   1181.103mil    746.064mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1C        C0805             1929.134mil    669.292mil   1929.134mil    669.292mil   1929.134mil    706.693mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1D        C0805             2622.048mil    653.544mil   2622.048mil    653.544mil   2622.048mil    690.945mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1E        C0805             3330.709mil    669.292mil   3330.709mil    669.292mil   3330.709mil    706.694mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1F        C0805             4039.371mil    653.544mil   4039.371mil    653.544mil   4039.371mil    690.946mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1G        C0805             4748.032mil    653.544mil   4748.032mil    653.544mil   4748.032mil    690.945mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C1H        C0805             5472.442mil    669.292mil   5472.442mil    669.292mil   5472.442mil    706.693mil  T        270.00 CAP 0.1uF 50V 0805(2012)
C7         CA10X16P5         3090.551mil   1062.992mil   2992.126mil   1062.992mil   2992.126mil   1062.992mil  T          0.00 CAPACITOR 330uF 20% 35V 10mmX16mm
CN3        HT5.08-3P-H       3228.347mil   1377.953mil   3028.347mil   1377.953mil   3028.347mil   1377.953mil  T        360.00 HT5.08-3P-H    
D4         SMA               3503.937mil   1102.362mil   3503.937mil   1102.362mil   3419.291mil   1102.362mil  T        270.00 SMAJ5.0A       
CN1        HT5.08-4P-H       2337.795mil   1377.953mil   2037.795mil   1377.953mil   2037.795mil   1377.953mil  T        360.00 HT5.08-4P-H    
CN2        HT5.08-4P-H       4115.748mil   1377.953mil   3815.748mil   1377.953mil   3815.748mil   1377.953mil  T        360.00 HT5.08-4P-H    
J1G        HT5.08-3P-H        5003.15mil    393.701mil    5203.15mil    393.701mil    5203.15mil    393.701mil  T        180.00 HT5.08-3P-H    

